,value
2020-08-31,288.6205866464448
2020-09-01,289.23035099537447
2020-09-02,278.17939976932655
2020-09-03,238.47023102529468
2020-09-04,243.20812346898924
2020-09-05,209.5841183001832
2020-09-06,224.01905977345092
2020-09-07,218.79166478813406
2020-09-08,214.80606577260977
2020-09-09,225.95499170086057
2020-09-10,236.51464599411503
2020-09-11,240.37752614009938
2020-09-12,250.54956719311187
2020-09-13,236.95183957578385
2020-09-14,243.20654558176514
2020-09-15,228.3174695355596
2020-09-16,225.3389717848134
2020-09-17,222.37733674300506
2020-09-18,217.49967735610286
2020-09-19,217.2338002928721
2020-09-20,210.05207758258024
2020-09-21,195.33726784535344
2020-09-22,197.35011238893475
2020-09-23,183.78633588557094
2020-09-24,198.88235421112483
2020-09-25,203.60927071553402
2020-09-26,208.02496308526577
2020-09-27,204.60349474872123
2020-09-28,202.42307453568134
2020-09-29,200.07886290857624
2020-09-30,199.56438075963987
2020-10-01,195.55258135838423
2020-10-02,188.6141992078189
2020-10-03,186.49301510392212
2020-10-04,186.69179625254776
2020-10-05,185.67354105190435
2020-10-06,173.98176124057272
2020-10-07,172.65417104269983
2020-10-08,179.33002657230494
2020-10-09,187.80611491455514
2020-10-10,187.57972371220558
2020-10-11,190.70144402437288
2020-10-12,192.51512450886082
2020-10-13,188.72479648926674
2020-10-14,183.72602322181152
2020-10-15,181.91631721689464
2020-10-16,173.9812435189168
2020-10-17,176.896794251134
2020-10-18,181.17670332813339
2020-10-19,176.41670056655653
2020-10-20,170.35212973458408
2020-10-21,173.1829902664255
2020-10-22,177.63736393873006
2020-10-23,177.0543589972608
2020-10-24,178.30190310478497
2020-10-25,176.21013620569013
2020-10-26,173.0116839060737
2020-10-27,172.67814917937773
2020-10-28,165.5168302734517
2020-10-29,160.7372693620653
2020-10-30,159.37398697063702
2020-10-31,159.29684688179267
2020-11-01,160.74667093857448
2020-11-02,156.41135993677628
2020-11-03,153.19790402107432
2020-11-04,151.68512329729032
2020-11-05,155.89008555922067
2020-11-06,170.78786274904184
2020-11-07,167.15422898609756
2020-11-08,176.172328621775
2020-11-09,178.32519866653877
2020-11-10,186.39589534347604
2020-11-11,182.4098552855806
2020-11-12,179.55812397024226
2020-11-13,186.60282953289249
2020-11-14,185.10825769014576
